"Country Name","Country Code","Indicator Name","Indicator Code","2017",
"Afghanistan","AFG","Survival Rate from Age 15-60","HD.HCI.AMRT","0.7797",
"Afghanistan","AFG","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.8018",
"Afghanistan","AFG","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.7597",
"Albania","ALB","Expected Years of School","HD.HCI.EYRS","12.99",
"Albania","ALB","Expected Years of School, Female","HD.HCI.EYRS.FE","12.89",
"Albania","ALB","Expected Years of School, Male","HD.HCI.EYRS.MA","13.08",
"Albania","ALB","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","0.7681",
"Albania","ALB","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","0.7637",
"Albania","ALB","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","0.7726",
"Albania","ALB","Harmonized Test Scores","HD.HCI.HLOS","429",
"Albania","ALB","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","445",
"Albania","ALB","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","414",
"Albania","ALB","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.621",
"Albania","ALB","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.637",
"Albania","ALB","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.624",
"Albania","ALB","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.65",
"Albania","ALB","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.608",
"Albania","ALB","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.606",
"Albania","ALB","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.589",
"Albania","ALB","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","0.622",
"Albania","ALB","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.634",
"Albania","ALB","Learning-Adjusted Years of School","HD.HCI.LAYS","8.92",
"Albania","ALB","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","9.18",
"Albania","ALB","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","8.66",
"Albania","ALB","Probability of Survival to Age 5","HD.HCI.MORT","0.9912",
"Albania","ALB","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9919",
"Albania","ALB","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.9905",
"Albania","ALB","Survival Rate from Age 15-60","HD.HCI.AMRT","0.9365",
"Albania","ALB","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.9503",
"Albania","ALB","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.9227",
"Algeria","DZA","Expected Years of School","HD.HCI.EYRS","11.42",
"Algeria","DZA","Expected Years of School, Female","HD.HCI.EYRS.FE","11.84",
"Algeria","DZA","Expected Years of School, Male","HD.HCI.EYRS.MA","11.01",
"Algeria","DZA","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","0.8831",
"Algeria","DZA","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","0.8929",
"Algeria","DZA","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","0.8737",
"Algeria","DZA","Harmonized Test Scores","HD.HCI.HLOS","374",
"Algeria","DZA","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","383",
"Algeria","DZA","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","366",
"Algeria","DZA","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.523",
"Algeria","DZA","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.545",
"Algeria","DZA","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.535",
"Algeria","DZA","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.554",
"Algeria","DZA","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.515",
"Algeria","DZA","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.504",
"Algeria","DZA","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.495",
"Algeria","DZA","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","0.512",
"Algeria","DZA","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.531",
"Algeria","DZA","Learning-Adjusted Years of School","HD.HCI.LAYS","6.84",
"Algeria","DZA","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","7.26",
"Algeria","DZA","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","6.45",
"Algeria","DZA","Probability of Survival to Age 5","HD.HCI.MORT","0.976",
"Algeria","DZA","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9775",
"Algeria","DZA","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.9745",
"Algeria","DZA","Survival Rate from Age 15-60","HD.HCI.AMRT","0.907",
"Algeria","DZA","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.9182",
"Algeria","DZA","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.896",
"Angola","AGO","Expected Years of School","HD.HCI.EYRS","7.89",
"Angola","AGO","Expected Years of School, Female","HD.HCI.EYRS.FE","7.07",
"Angola","AGO","Expected Years of School, Male","HD.HCI.EYRS.MA","8.69",
"Angola","AGO","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","0.6243",
"Angola","AGO","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","0.6586",
"Angola","AGO","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","0.5899",
"Angola","AGO","Harmonized Test Scores","HD.HCI.HLOS","326",
"Angola","AGO","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","325",
"Angola","AGO","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","327",
"Angola","AGO","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.361",
"Angola","AGO","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.358",
"Angola","AGO","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.325",
"Angola","AGO","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.381",
"Angola","AGO","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.326",
"Angola","AGO","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.365",
"Angola","AGO","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.326",
"Angola","AGO","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","0.394",
"Angola","AGO","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.387",
"Angola","AGO","Learning-Adjusted Years of School","HD.HCI.LAYS","4.11",
"Angola","AGO","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","3.68",
"Angola","AGO","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","4.54",
"Angola","AGO","Probability of Survival to Age 5","HD.HCI.MORT","0.9189",
"Angola","AGO","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9251",
"Angola","AGO","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.9131",
"Angola","AGO","Survival Rate from Age 15-60","HD.HCI.AMRT","0.7638",
"Angola","AGO","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.8",
"Angola","AGO","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.7266",
"Argentina","ARG","Expected Years of School","HD.HCI.EYRS","13.07",
"Argentina","ARG","Expected Years of School, Female","HD.HCI.EYRS.FE","13.32",
"Argentina","ARG","Expected Years of School, Male","HD.HCI.EYRS.MA","12.83",
"Argentina","ARG","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","",
"Argentina","ARG","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","",
"Argentina","ARG","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","",
"Argentina","ARG","Harmonized Test Scores","HD.HCI.HLOS","424",
"Argentina","ARG","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","421",
"Argentina","ARG","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","427",
"Argentina","ARG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.611",
"Argentina","ARG","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.632",
"Argentina","ARG","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.622",
"Argentina","ARG","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.642",
"Argentina","ARG","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.6",
"Argentina","ARG","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.59",
"Argentina","ARG","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.578",
"Argentina","ARG","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","0.602",
"Argentina","ARG","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.621",
"Argentina","ARG","Learning-Adjusted Years of School","HD.HCI.LAYS","8.87",
"Argentina","ARG","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","8.97",
"Argentina","ARG","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","8.77",
"Argentina","ARG","Probability of Survival to Age 5","HD.HCI.MORT","0.9896",
"Argentina","ARG","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9906",
"Argentina","ARG","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.9887",
"Argentina","ARG","Survival Rate from Age 15-60","HD.HCI.AMRT","0.889",
"Argentina","ARG","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.9269",
"Argentina","ARG","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.8511",
"Armenia","ARM","Expected Years of School","HD.HCI.EYRS","11.09",
"Armenia","ARM","Expected Years of School, Female","HD.HCI.EYRS.FE","11.27",
"Armenia","ARM","Expected Years of School, Male","HD.HCI.EYRS.MA","10.92",
"Armenia","ARM","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","0.906",
"Armenia","ARM","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","0.9224",
"Armenia","ARM","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","0.8914",
"Armenia","ARM","Harmonized Test Scores","HD.HCI.HLOS","443",
"Armenia","ARM","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","448",
"Armenia","ARM","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","439",
"Armenia","ARM","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.572",
"Armenia","ARM","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.593",
"Armenia","ARM","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.58",
"Armenia","ARM","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.605",
"Armenia","ARM","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.559",
"Armenia","ARM","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.551",
"Armenia","ARM","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.536",
"Armenia","ARM","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","0.565",
"Armenia","ARM","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.583",
"Armenia","ARM","Learning-Adjusted Years of School","HD.HCI.LAYS","7.86",
"Armenia","ARM","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","8.07",
"Armenia","ARM","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","7.66",
"Armenia","ARM","Probability of Survival to Age 5","HD.HCI.MORT","0.9874",
"Armenia","ARM","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9888",
"Armenia","ARM","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.986",
"Armenia","ARM","Survival Rate from Age 15-60","HD.HCI.AMRT","0.8815",
"Armenia","ARM","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.9268",
"Armenia","ARM","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.828",
"Australia","AUS","Expected Years of School","HD.HCI.EYRS","13.77",
"Australia","AUS","Expected Years of School, Female","HD.HCI.EYRS.FE","13.78",
"Australia","AUS","Expected Years of School, Male","HD.HCI.EYRS.MA","13.76",
"Australia","AUS","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","0.98",
"Australia","AUS","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","",
"Australia","AUS","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","",
"Australia","AUS","Harmonized Test Scores","HD.HCI.HLOS","524",
"Australia","AUS","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","528",
"Australia","AUS","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","520",
"Australia","AUS","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.803",
"Australia","AUS","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.805",
"Australia","AUS","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.796",
"Australia","AUS","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.815",
"Australia","AUS","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.793",
"Australia","AUS","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.779",
"Australia","AUS","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.768",
"Australia","AUS","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","0.789",
"Australia","AUS","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.813",
"Australia","AUS","Learning-Adjusted Years of School","HD.HCI.LAYS","11.55",
"Australia","AUS","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","11.65",
"Australia","AUS","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","11.45",
"Australia","AUS","Probability of Survival to Age 5","HD.HCI.MORT","0.9965",
"Australia","AUS","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9968",
"Australia","AUS","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.9962",
"Australia","AUS","Survival Rate from Age 15-60","HD.HCI.AMRT","0.9484",
"Australia","AUS","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.9614",
"Australia","AUS","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.9355",
"Austria","AUT","Expected Years of School","HD.HCI.EYRS","13.89",
"Austria","AUT","Expected Years of School, Female","HD.HCI.EYRS.FE","13.79",
"Austria","AUT","Expected Years of School, Male","HD.HCI.EYRS.MA","13.94",
"Austria","AUT","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","",
"Austria","AUT","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","",
"Austria","AUT","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","",
"Austria","AUT","Harmonized Test Scores","HD.HCI.HLOS","525",
"Austria","AUT","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","524",
"Austria","AUT","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","526",
"Austria","AUT","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.793",
"Austria","AUT","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.798",
"Austria","AUT","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.787",
"Austria","AUT","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.809",
"Austria","AUT","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.783",
"Austria","AUT","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.785",
"Austria","AUT","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.773",
"Austria","AUT","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","0.798",
"Austria","AUT","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.803",
"Austria","AUT","Learning-Adjusted Years of School","HD.HCI.LAYS","11.67",
"Austria","AUT","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","11.56",
"Austria","AUT","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","11.72",
"Austria","AUT","Probability of Survival to Age 5","HD.HCI.MORT","0.9964",
"Austria","AUT","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9968",
"Austria","AUT","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.9961",
"Austria","AUT","Survival Rate from Age 15-60","HD.HCI.AMRT","0.936",
"Austria","AUT","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.9581",
"Austria","AUT","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.9145",
"Azerbaijan","AZE","Expected Years of School","HD.HCI.EYRS","11.58",
"Azerbaijan","AZE","Expected Years of School, Female","HD.HCI.EYRS.FE","",
"Azerbaijan","AZE","Expected Years of School, Male","HD.HCI.EYRS.MA","",
"Azerbaijan","AZE","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","0.82",
"Azerbaijan","AZE","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","",
"Azerbaijan","AZE","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","",
"Azerbaijan","AZE","Harmonized Test Scores","HD.HCI.HLOS","472",
"Azerbaijan","AZE","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","479",
"Azerbaijan","AZE","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","466",
"Azerbaijan","AZE","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.597",
"Azerbaijan","AZE","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","",
"Azerbaijan","AZE","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","",
"Azerbaijan","AZE","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","",
"Azerbaijan","AZE","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.576",
"Azerbaijan","AZE","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","",
"Azerbaijan","AZE","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","",
"Azerbaijan","AZE","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","",
"Azerbaijan","AZE","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.615",
"Azerbaijan","AZE","Learning-Adjusted Years of School","HD.HCI.LAYS","8.75",
"Azerbaijan","AZE","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","",
"Azerbaijan","AZE","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","",
"Azerbaijan","AZE","Probability of Survival to Age 5","HD.HCI.MORT","0.977",
"Azerbaijan","AZE","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9795",
"Azerbaijan","AZE","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.9746",
"Azerbaijan","AZE","Survival Rate from Age 15-60","HD.HCI.AMRT","0.8723",
"Azerbaijan","AZE","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.9158",
"Azerbaijan","AZE","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.8273",
"Bahrain","BHR","Expected Years of School","HD.HCI.EYRS","13.28",
"Bahrain","BHR","Expected Years of School, Female","HD.HCI.EYRS.FE","13.41",
"Bahrain","BHR","Expected Years of School, Male","HD.HCI.EYRS.MA","13.16",
"Bahrain","BHR","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","",
"Bahrain","BHR","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","",
"Bahrain","BHR","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","",
"Bahrain","BHR","Harmonized Test Scores","HD.HCI.HLOS","452",
"Bahrain","BHR","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","470",
"Bahrain","BHR","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","434",
"Bahrain","BHR","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.668",
"Bahrain","BHR","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.699",
"Bahrain","BHR","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.685",
"Bahrain","BHR","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.713",
"Bahrain","BHR","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.654",
"Bahrain","BHR","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.641",
"Bahrain","BHR","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.624",
"Bahrain","BHR","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","0.656",
"Bahrain","BHR","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.681",
"Bahrain","BHR","Learning-Adjusted Years of School","HD.HCI.LAYS","9.6",
"Bahrain","BHR","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","10.09",
"Bahrain","BHR","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","9.13",
"Bahrain","BHR","Probability of Survival to Age 5","HD.HCI.MORT","0.9927",
"Bahrain","BHR","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9929",
"Bahrain","BHR","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.9924",
"Bahrain","BHR","Survival Rate from Age 15-60","HD.HCI.AMRT","0.9331",
"Bahrain","BHR","Survival Rate from Age 15-60, Female","HD.HCI.AMRT.FE","0.9428",
"Bahrain","BHR","Survival Rate from Age 15-60, Male","HD.HCI.AMRT.MA","0.9275",
"Bangladesh","BGD","Expected Years of School","HD.HCI.EYRS","11.03",
"Bangladesh","BGD","Expected Years of School, Female","HD.HCI.EYRS.FE","11.33",
"Bangladesh","BGD","Expected Years of School, Male","HD.HCI.EYRS.MA","10.66",
"Bangladesh","BGD","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","0.6382",
"Bangladesh","BGD","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","0.6447",
"Bangladesh","BGD","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","0.6323",
"Bangladesh","BGD","Harmonized Test Scores","HD.HCI.HLOS","368",
"Bangladesh","BGD","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","370",
"Bangladesh","BGD","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","367",
"Bangladesh","BGD","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.479",
"Bangladesh","BGD","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.492",
"Bangladesh","BGD","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.481",
"Bangladesh","BGD","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.502",
"Bangladesh","BGD","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.468",
"Bangladesh","BGD","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.465",
"Bangladesh","BGD","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.454",
